model,variant,accuracy,f1,size,gen,amount_boards
NN,baseline,0.6814114997184508,0.45702708466624015,5,3,100000
NN,improved,0.6572608396421198,0.5492100065832785,5,3,100000
CNN,baseline,0.6699618344491022,0.4933243684564403,5,3,100000
CNN,improved,0.6289807920915973,0.5566023627934799,5,3,100000
RNN,baseline,0.6788462741663017,0.42435796792643266,5,3,100000
RNN,improved,0.6545704811362072,0.5532810097904362,5,3,100000
RCNN-sigmoid,baseline,0.6741755835054126,0.4880542719496608,5,3,100000
RCNN-sigmoid,improved,0.6304361429197172,0.5653517809832205,5,3,100000
RCNN-softmax,baseline,0.6741130091984231,0.4463108654050606,5,3,100000
RCNN-softmax,improved,0.6709842938489456,0.35452983059170146,5,3,100000
